Well ID,Name,Well,Conc/Dil,"480,520",Count,Mean,Std Dev,CV (%)
BLK,Sample blank,H1,,31,2,30,1,4.714
,,H2,,29,,,,
SPL1,,A3,,50776,2,50866,127,0.25
,,A4,,50956,,,,
SPL2,,B3,,47156,2,47825,945,1.977
,,B4,,48493,,,,
SPL3,,C3,,58353,2,57726,887,1.537
,,C4,,57098,,,,
SPL4,,D3,,68109,2,65583,3573,5.448
,,D4,,63056,,,,
SPL5,,E3,,69511,2,68349,1643,2.404
,,E4,,67187,,,,
SPL6,,F3,,3094,2,3184,127,3.997
,,F4,,3274,,,,
SPL7,,G3,,29,2,33,5,15.23
,,G4,,36,,,,
SPL8,,H3,,32,2,31,2,6.955
,,H4,,29,,,,
SPL9,,A5,,24,2,29,6,22.33
,,A6,,33,,,,
SPL10,,B5,,31,2,30,2,7.191
,,B6,,28,,,,
SPL11,,C5,,38,2,34,6,18.997
,,C6,,29,,,,
SPL12,,D5,,37,2,29,11,39.013
,,D6,,21,,,,
SPL13,,E5,,31,2,35,5,14.347
,,E6,,38,,,,
SPL14,,F5,,31,2,29,4,12.405
,,F6,,26,,,,
SPL15,,G5,,26,2,29,4,14.63
,,G6,,32,,,,
SPL16,,H5,,28,2,32,5,15.713
,,H6,,35,,,,
SPL17,,A7,,27,2,28,1,5.051
,,A8,,29,,,,
SPL18,,B7,,27,2,30,4,11.985
,,B8,,32,,,,
SPL19,,C7,,29,2,31,3,9.124
,,C8,,33,,,,
SPL20,,D7,,31,2,32,1,4.419
,,D8,,33,,,,
SPL21,,E7,,41,2,36,7,19.642
,,E8,,31,,,,
SPL22,,F7,,34,2,32,3,8.839
,,F8,,30,,,,
SPL23,,G7,,33,2,36,4,11.785
,,G8,,39,,,,
SPL24,,H7,,27,2,31,5,16.229
,,H8,,34,,,,
SPL25,,A9,,35,2,35,0,0
,,A10,,35,,,,
SPL26,,B9,,30,2,31,1,2.318
,,B10,,31,,,,
SPL27,,C9,,31,2,28,5,17.999
,,C10,,24,,,,
SPL28,,D9,,35,2,35,1,2.05
,,D10,,34,,,,
SPL29,,E9,,38,2,33,8,23.933
,,E10,,27,,,,
SPL30,,F9,,33,2,33,1,2.176
,,F10,,32,,,,
SPL31,,G9,,29,2,30,1,2.397
,,G10,,30,,,,
SPL32,,H9,,24,2,25,1,5.657
,,H10,,26,,,,
SPL33,,A11,,36,2,35,2,6.149
,,A12,,33,,,,
SPL34,,B11,,24,2,26,2,8.319
,,B12,,27,,,,
SPL35,,C11,,29,2,28,2,7.714
,,C12,,26,,,,
SPL36,,D11,,32,2,32,1,2.245
,,D12,,31,,,,
SPL37,,E11,,33,2,33,1,2.176
,,E12,,32,,,,
SPL38,,F11,,27,2,26,2,8.319
,,F12,,24,,,,
SPL39,,G11,,33,2,32,2,6.734
,,G12,,30,,,,
SPL40,,H11,,22,2,26,6,21.757
,,H12,,30,,,,
STD1,Standard curve,A1,75,*90024*,0,?????,?????,?????
,,A2,75,*87916*,,,,
STD2,Standard curve,B1,50,*80911*,0,?????,?????,?????
,,B2,50,*79528*,,,,
STD3,Standard curve,C1,25,48087,2,47391,984,2.077
,,C2,25,46695,,,,
STD4,Standard curve,D1,10,19984,2,20151,236,1.172
,,D2,10,20318,,,,
STD5,Standard curve,E1,5,10288,2,10048,339,3.378
,,E2,5,9808,,,,
STD6,Standard curve,F1,2,3962,2,3898,91,2.34
,,F2,2,3833,,,,
STD7,Standard curve,G1,0,91,2,85,9,10.879
,,G2,0,78,,,,
