Well ID	Name	Well	Conc/Dil	480,520	Count	Mean	Std Dev	CV (%)
SPL1		A3	100	7359	2	7229	185	2.553
		A4	100	7098				
SPL2		B3	100	513	2	493	29	5.887
		B4	100	472				
SPL3		C3	100	2123	2	2102	30	1.447
		C4	100	2080				
SPL4		D3	100	2723	2	2715	12	0.443
		D4	100	2706				
SPL5		E3	100	1878	2	1909	43	2.260
		E4	100	1939				
SPL6		F3	100	2222	2	2210	17	0.768
		F4	100	2198				
SPL7		G3	100	8422	2	8221	285	3.467
		G4	100	8019				
SPL8		H3	100	92702	2	90886	2568	2.826
		H4	100	89070				
SPL9		A5	100	718	2	722	5	0.686
		A6	100	725				
SPL10		B5	100	125	2	116	13	10.972
		B6	100	107				
SPL11		C5	100	7846	2	7622	317	4.156
		C6	100	7398				
SPL12		D5	100	2371	2	2374	4	0.179
		D6	100	2377				
SPL13		E5	100	2907	2	2864	61	2.123
		E6	100	2821				
SPL14		F5	100	70248	2	69015	1744	2.528
		F6	100	67781				
SPL15		G5	100	10382	2	10230	216	2.108
		G6	100	10077				
SPL16		H5	100	1603	2	1629	36	2.214
		H6	100	1654				
SPL17		A7	100	2361	2	2373	17	0.715
		A8	100	2385				
SPL18		B7	100	3198	2	3197	2	0.066
		B8	100	3195				
SPL19		C7	100	9492	2	9496	6	0.060
		C8	100	9500				
SPL20		D7	100	1123	2	1111	18	1.592
		D8	100	1098				
SPL21		E7	100	696	2	688	11	1.644
		E8	100	680				
SPL22		F7	100	4589	2	4578	16	0.355
		F8	100	4566				
SPL23		G7	100	111	2	120	12	10.059
		G8	100	128				
SPL24		H7	100	215634	2	212438	4520	2.128
		H8	100	209242				
SPL25		A9	100	1871	2	1872	1	0.038
		A10	100	1872				
SPL26		B9	100	168	2	169	1	0.420
		B10	100	169				
SPL27		C9	100	8166	2	8280	161	1.939
		C10	100	8393				
SPL28		D9	100	17336	2	17389	74	0.427
		D10	100	17441				
SPL29		E9	100	798	2	791	11	1.342
		E10	100	783				
SPL30		F9	100	7724	2	7747	33	0.420
		F10	100	7770				
SPL31		G9	100	6756	2	6786	42	0.625
		G10	100	6816				
SPL32		H9	100	2616	2	2693	108	4.018
		H10	100	2769				
SPL33		A11	100	770	2	808	53	6.568
		A12	100	845				
SPL34		B11	100	2312	2	2272	57	2.521
		B12	100	2231				
SPL35		C11	100	3071	2	2948	174	5.901
		C12	100	2825				
SPL36		D11	100	144	2	262	167	63.694
		D12	100	380				
SPL37		E11	100	3804	2	3627	250	6.901
		E12	100	3450				
SPL38		F11	100	51501	2	45997	7785	16.924
		F12	100	40492				
SPL39		G11	100	3638	2	3415	315	9.235
		G12	100	3192				
SPL40		H11	100	5689	2	5151	761	14.771
		H12	100	4613				
STD1	Standard curve	A1	100	228098	2	225212	4081	1.812
		A2	100	222326				
STD2	Standard curve	B1	80	184441	2	182328	2988	1.639
		B2	80	180215				
STD3	Standard curve	C1	60	128337	2	126981	1918	1.510
		C2	60	125625				
STD4	Standard curve	D1	40	86964	2	85943	1445	1.681
		D2	40	84921				
STD5	Standard curve	E1	20	43011	2	42374	902	2.128
		E2	20	41736				
STD6	Standard curve	F1	10	21109	2	21024	120	0.572
		F2	10	20939				
STD7	Standard curve	G1	5	10347	2	10255	130	1.269
		G2	5	10163				
STD8	Standard curve	H1	0	55	2	61	8	12.856
		H2	0	66				
